gene_id	RCC_115	RCC_90	RCC_41	RCC_73	RCC_105	PD_007T	PD_011T	PD_012T	PD_018T	PD_019T	PD_020T	PD_022T	PD_024T	PD_026T	RCC_14	RCC_93	RCC_96	RCC_102	RCC_117	RCC_106	RCC_18	RCC_21	RCC_50	RCC_27	PD_005T	PD_010T	PD_013T	PD_014T	PD_015T	PD_021T	PD_023T	PD_025T	RCC_99
ZNF195	14.53	12.5	8.45	4.87	2.54	13.1	16.98	13.14	19.28	7.69	6.39	9.07	14.13	21.87	5.13	9.48	24.95	6.13	6.58	16.42	1.35	21.65	4.37	19.67	14.37	7.81	7.11	7.5	10.92	14.58	11.12	9.99	18.78
MYCBP2	15.41	2.19	15.29	8.64	7.68	39.38	58.91	25.48	87.6	15.5	27.03	26.62	75.95	33.71	4.9	15.25	17.16	4.85	8.88	39.44	5.2	8.48	6.51	16.27	20.71	15.82	20.75	40.2	31.89	46.1	28.72	36.05	1.07
FBXL3	29.33	8.57	20.13	18.17	7.12	9	14.38	6.02	8.46	2.91	3.01	9.23	7.22	11.91	10.99	22.25	24.27	10.77	11.98	37.99	10.98	15.04	10.87	41.97	7.32	4.65	4.1	7.15	8.67	12.2	5.8	7.98	8.38
ITGAL	20.06	0.21	16.08	3.78	8.84	19.35	106.85	26.13	45.22	12.82	108.21	27.42	315.88	5.88	15.5	18.99	15.74	4.3	27.33	13.32	4.38	9.5	20.26	7.32	15.53	29.49	27.13	60.11	14.99	79.33	29.43	52.79	2.89
PDK2	27.48	4.11	15.24	14.03	39.31	60.67	108.06	104.13	147.59	40.88	47.9	107.12	113.46	96.95	13.41	6.29	29.93	76.06	58.91	38.2	15.41	10.24	7.02	23.76	105.01	58.34	64.8	163.24	155.27	226.45	63.03	93.1	4.85
ITGA3	59.53	15.3	28.51	29.91	190.8	14.81	152.82	49.18	89.48	364.01	31.36	69.26	103.37	43.72	30.39	39.86	49.47	88.46	72.75	44.42	6.92	685.43	34.88	68.07	133.59	31.65	36.06	111.08	51.35	40.69	64.59	69.08	36.78
ZFX	6.61	0.68	3.76	4.48	1.78	30.97	30.74	27.62	39.86	12.74	24.89	36.82	36.67	58.73	2.54	5.51	9.3	1.74	2.56	12.19	2.51	4.54	2.69	13.94	19.69	13.25	25.2	39.17	22.92	59.5	23.02	29.11	1.93
LAMP2	98.01	49.02	189.15	42.64	191.44	37.92	71.09	85.14	47.29	89.69	50.91	81.35	53.85	53.86	95.56	125.67	100.41	114.7	77.73	96.99	76.06	169.2	70.59	155.08	105.09	52.56	75.64	40.71	88.38	142.43	31.98	56.21	55.57
ITGA2B	2.78	0	0	0	0.4	2.69	0.7	1.82	0.65	0.11	0.2	0.83	0.08	2.17	2.19	0	2.3	8.4	0.17	0.71	2.57	0.15	0.18	8.13	0.31	0.18	0.7	1.61	0.45	3.63	0.45	0.39	0.41
ASB4	0	0	40.1	0	0	0.02	0.98	0.01	0	0	0	0	0	0.04	0.47	0.17	0	0.31	5.63	0.2	1.19	0	0	0	0	0.13	0.01	0.53	0.02	1.37	0.1	0	0
GDE1	46.48	24.66	49.65	47.12	32.42	5.37	7.07	8.92	7.47	3.6	5.29	5.02	6.45	9.94	19.82	26.83	32.52	19.83	38.62	18.92	10.01	27.97	25.38	28.55	6.2	2.29	3.68	4.08	7.37	9.09	5.25	5.84	14.31
C19orf60	10.03	16.91	2.43	20.94	13.33	10.45	10.8	8.76	11.13	7.16	6.82	4.9	10.42	6.14	6.79	6.77	12.72	49.84	18.66	5.33	11.97	16.7	39.62	3.5	11.07	8.19	5.95	15.05	6.06	13.94	9.77	11.49	7.67
CRLF1	5.85	0.35	0	3.89	0.77	0.85	0.18	0.1	0.31	0.27	0.1	0.53	0.1	0.05	0	1.61	6.56	12.02	9.6	4.48	0	9.35	1.07	0	0.05	0.09	0.03	0.36	0.08	0.13	0.2	1.29	0
OSBPL7	7.63	0.08	1.24	2.87	2.71	8.01	7.05	4.39	2.09	6.89	2.74	4.53	5.18	6.17	1.03	2.62	21.28	5.4	4.28	12.87	0.35	3.97	2.21	0.39	1.83	3.26	2.26	4.66	3.45	3.69	4.9	5.61	1.8
TMEM98	116.4	11.3	2.52	25.25	82.27	14.34	25.97	2.72	21.59	76.02	16.36	63.21	54.27	44.05	8.86	19.53	93.6	39.92	10.78	50.7	23.35	20.8	77.27	35.79	14.2	1.3	7.68	20.55	46.09	8.91	12.09	6	0.68
YBX2	3.44	0	1.63	0	2.22	0.33	3.55	0.03	0.12	0	0	0.06	0.19	0.75	1.02	0	5.61	2.05	0	4.99	0.28	0	0.12	0	3.4	0.46	0.67	0.63	3.81	3.56	0.08	0.06	0.44
KRT33A	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.05	0	0	0
MAP3K14	10.61	2.53	8.07	3.94	14.62	3.28	8.3	2.41	8.1	2.05	2.9	2.1	8.84	1.89	7.48	9.81	25.93	13.49	25.3	9.58	2.4	9.27	14.6	7.39	4.46	4.03	4.05	5.75	3.97	6.87	2.95	3.39	7.27
ABCC8	0	0	0	0	0	0.13	1.68	0.48	0.46	0.39	0.07	0.23	0	1	0	0	0	0	0	0.78	0	0	0	0	0	0	0.1	0.42	0.57	0.17	0.31	0.05	0
CACNG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM132A	16.26	1.63	3.87	33.63	69.45	5.69	11.03	4.55	6.18	111.37	3.08	10.65	34.7	5.09	8.37	12.72	20.22	19.53	13.99	9.26	1.94	100.64	96.77	45.35	13.14	13.22	7.36	10.2	4.55	2.6	10.95	48.08	15.41
AP2B1	73.49	4.46	54.69	55.17	87.96	85.03	80.35	43.51	77.5	33.27	25.54	49.63	76.08	105.05	21.14	36.65	78.89	47.29	42.61	50.27	16.14	77.71	30.46	54.05	50.81	27.93	28.35	59.96	51.23	117.5	42.35	46.31	22.86
TAC1	0.72	0	0	1.49	0	0	0	0	0	0	0	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0.1	0	1.99	0.03	0	0.21	0
ZNF263	20.56	1.86	10.32	10.6	12.41	16.11	13.29	6.7	9.42	7.62	7.27	10.72	15.41	14.22	5.72	17.01	25.32	11.19	19.48	33.95	4.08	18.65	12.49	9.92	7.11	7.16	10.21	11.01	11.72	13.44	8.9	10.21	15.33
CX3CL1	31.06	0.6	38.06	15.88	43.59	2.55	7.41	1.64	2.87	0.89	0.75	2.48	4.01	4.93	11.75	11.19	34.59	53.31	89.62	38.96	6.3	28.62	36.63	26.33	6.94	1.97	3.52	4.03	3.84	6.15	3.57	4.6	1.64
SPATA20	57.32	1.82	38.95	27.13	33.29	21.81	37.07	32.28	16.9	19.46	11.78	12.94	39.22	38.35	16.77	21.4	99.43	51.77	86.12	51.77	14.62	55.22	43.45	38.69	12.68	11.12	24.78	32.4	37.51	19.67	22.93	21.63	46.86
CACNA1G	0.31	0	0.36	0	0	0.13	0.27	0.06	0.02	0.02	0.18	0	0.06	0.02	0	0	0	0	0	0	0	0.14	0	0	0	0.04	0.08	0.02	0	0.01	0.3	0.04	0.08
TNFRSF12A	124.14	180.22	13.53	28.7	195.22	3.69	7.09	7.12	6.01	13.85	4.56	5.19	7.98	7.08	69.43	86.19	41.17	68.32	187.57	54.11	7.78	153.74	86.56	32.53	18.57	1.18	14.13	6.97	11.26	9.09	2.33	8.42	133.86
DLX6	0	0	0	0.68	0	0.17	0.73	0.34	0.14	0.05	0.03	0.53	0	0.17	0	0	0	0	0	1.42	0	0.31	0	0	0.07	0.05	0.07	0.53	0.46	0.06	0.07	0.21	0
MAP3K9	1.21	0	0.27	0.28	0.72	0.84	0.64	1.63	0.15	1.87	0.53	1.24	0.55	3.26	0.15	0.41	0.53	0.03	0.19	0.19	0.33	0.13	0.1	0.54	0.26	0.22	0.09	0.39	0.15	0.96	0.26	0.31	0.23
RALA	24.33	10.02	19.5	22.14	12.65	19.57	14.6	21.26	19.67	12.3	7.71	14.43	16.68	31.27	11.61	28.55	26.15	13.46	15.66	30.8	9.56	21.71	17.77	29.38	8.01	7.94	9.61	18.17	20.36	28.95	12.62	15.71	10.52
BAIAP2L1	6.32	0.47	2.62	2.31	3.16	2.46	3.23	10.64	9.07	17.57	1.38	6.11	5.28	9.26	1.8	13.61	0.17	3.72	1.85	1.46	3.27	4.2	6.51	4.7	2.77	2.06	5.14	6.66	14.89	6.22	4.52	3.97	33.45
KDM7A	3.13	0.17	3.15	3.44	1.34	20.01	21.49	23.17	16.4	11.17	11.33	15.24	23.87	13.99	1.86	3.83	3.68	1.1	1.62	8.94	1.21	2.73	1.25	4.76	8.85	16.16	11.82	18.93	10.85	57.01	14.57	19	2.07
ETV1	3.58	1.8	2.45	5.57	2.92	14.5	5.72	5.35	8.53	17.43	6.68	14.71	8.11	8.58	0.53	1.29	4.66	1.7	1.07	7.08	1.27	59.83	3.54	15.03	1.43	2.67	19.1	14.24	1.81	22.3	14.39	3.71	19.51
AGK	15.08	0.58	20.88	13.93	9.19	22.67	21.83	16.9	23.88	21.17	24.59	16.23	23.3	20	4.95	17.15	15.68	7.06	8.26	15.71	9.7	21.06	14.72	15.87	25.5	9.57	14.15	15.55	16.02	30.04	18.48	24.09	23.59
ALDH3B1	13.82	0.65	9.84	1.91	10.38	3.98	8	3.61	9.67	6.12	4.08	8.52	17.25	1	7.82	13.99	13.23	9.24	24.77	10.55	1.95	15.99	20.08	11.47	2.82	3.61	4.69	8.14	5.55	6.76	8.49	4.35	4.99
TTC22	1.83	0.09	2.45	2.98	1.55	0.25	1.58	0.81	0.58	0.45	0.12	0.54	1.15	0.12	4.03	1.17	5.18	2.62	10.21	1.03	0.8	0	3.81	0.78	2.13	0.81	0.17	1.06	1.16	1.72	0.11	1.77	0.12
PHTF2	15.48	6.08	6.12	6.76	1.75	16.67	20.72	11.26	13.65	13.77	7.92	10.36	16.4	12.49	2.97	11.45	11.62	3.33	3.34	10.37	6.4	11.26	3.68	9.97	11.26	7.14	12.06	12.58	18.09	21.05	14.8	15.19	8.28
CCL26	2.34	0	0	6.32	0	0.65	0	0.29	0.57	0.43	0.11	1.29	0	0.36	0	0	5.8	0	0	0	0	6.33	2.15	0	0	0	0.21	0.15	0.23	0.23	0.18	1.52	0
FARP2	7.36	1.01	11.96	2.48	8.59	7.64	19.08	15.1	20.26	8.07	8.07	11.8	14.9	33.18	2.13	19.59	10.16	4	9.35	8.75	4.15	7.63	4.13	10.52	6.32	6.11	10.22	17.47	8.23	26.29	9.78	17.36	4.1
USH1C	75.6	23.53	60.84	0	62.89	20.68	57.15	18.44	67.43	34.98	10.01	31.98	58.11	2.93	38.21	22.96	166.2	96.73	160.7	29.61	0.39	1.75	55.23	26	62.56	16.6	23.55	31.45	53.45	65.87	5.46	27.66	87.98
GGCT	23.6	18.32	17.33	27.77	19.31	8.1	4.35	5.89	7.93	3.5	3.08	3.77	4.57	2.87	14.05	34.45	33.53	18.29	29.77	30.33	21.78	14.77	31.86	33.96	6.1	3.21	2.96	3.54	7	10.71	4.96	5.28	32.61
DBF4	4.16	4.96	5.79	4.01	0.77	9.51	6.64	7.74	8.15	4.89	6.73	5.38	7.99	9.83	1.06	8.33	6.05	1.59	3.05	6.93	1.52	1.6	8.51	11.46	5.25	3.03	3.97	5.04	4.6	12.23	3.85	8.46	6.12
TBXA2R	0.4	0	0.36	4.04	0.34	2.28	1.24	0.7	0.67	0.45	0.14	2.58	0	0.92	0.87	2.09	0.76	5.47	1.6	2.94	1.55	1.52	2.41	3.94	0.32	0.43	0.97	1	1.23	0.41	2.35	3.17	0
IFRD1	15.25	8.77	5.66	15.56	7.48	23.78	24.34	28.77	24.71	15.54	17.61	16.09	38.11	33.16	6.84	7.57	30.55	5.08	19.67	33.26	3.44	19.8	7.93	14.39	22.81	13.57	34.03	26.47	38.3	52.63	29.92	43.7	30.02
LGALS14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX10	5.56	1.16	6.5	8.68	13.03	14.95	16.17	17	19.26	15.34	8.85	8.93	18.6	31.53	6.39	3.92	4.3	6.17	5.91	6.89	2.55	7.82	4.71	5.98	15.72	5.31	9.75	10.98	13	25.43	10.54	15.41	4.67
GTF2IRD1	20.47	0.79	3.15	4.1	7.18	7.04	14.56	16.92	28.54	17.5	7.69	18.21	39.26	28.02	4.19	10.89	12.55	6.78	5.65	10.53	1.34	10.36	6.76	7.58	19.27	19.07	11.45	13.69	22.77	27.47	28.7	21.05	13.15
PAF1	19.94	2.78	18.95	34.62	20.72	47.62	36.85	42.21	26.82	20.15	16.9	26.77	38.79	33.47	14.18	21.66	41.76	40.17	43.46	30.18	10.43	24.53	23.35	26.96	32.39	18.96	28.83	28.88	38.8	45.6	27.11	24.86	12.46
VPS41	31.87	3.81	27.88	11.45	21.03	49.95	64.04	58.7	65.14	76.9	31.38	59.21	67.62	88.55	11.14	19.22	29.28	9.71	12.47	39.97	13.37	52.39	12.24	27.28	56.85	31.84	37.6	62.4	77.41	165.75	66.55	68.69	10.31
ARHGAP44	1.49	0.12	0.64	1.83	1.35	7.69	11.72	4.98	3	4.6	1.54	3.72	8.27	7.4	1.7	2.62	1.93	1.03	0.13	3.42	0.36	3.98	0.95	3.38	2.74	3.7	6.13	4.64	8.28	6.84	7.51	4.73	0
ELAC2	20.87	2.57	16.45	19.83	33.52	28.47	27.84	22.43	28.55	22.39	14.27	15.56	37.42	25.61	12.57	35.56	37.05	25.79	34.14	40.14	8	34.08	20.8	34.13	21.4	7.47	11.59	25.25	22.6	26.13	16.16	23.42	22.45
SCIN	70.43	1.59	17.48	13.32	42.38	7.58	26.09	49.99	34.88	3.05	48.88	25.83	15.88	102.03	14.76	8.67	2.24	11.63	10.59	9.1	0	13.88	12.67	15.53	13.61	3.34	12.9	10.33	13.89	5.47	19.26	15.7	2.04
ARSD	26.85	5.12	13.78	20.09	12.17	11.46	11.85	8.26	13.8	9.08	7.62	15.66	11.51	19.12	15.43	24.59	58.48	25.12	19.95	26.55	10.91	17.76	18.48	8	9.48	2.62	4.4	13.01	10.11	18.05	7.95	6.98	9.57
PNPLA4	9.92	13.33	15.31	4.7	11.96	4.94	5.31	8.33	14.03	7.36	12.55	16.36	6.48	15.84	9.71	5.68	32.88	5.36	10.2	10.9	3.89	6.42	11.42	13.74	12.42	2.61	5.74	5.55	8.55	21.95	7.16	7.89	2.64
MYH13	0	0	0	0	0	0	0.11	0.13	0	0	0	0	0.01	0.01	0	0	5.87	0	0	0	0	0	0	0	0	0.75	0	0	0	0.14	0.01	0.01	0
ADIPOR2	23.73	2.51	25.45	15.8	17.33	5.97	12.53	6.68	7.71	2.63	3.79	5.83	12.59	11.85	12.25	18.93	30.85	10.17	20.78	25.58	20.99	18.61	11.93	31.75	5.96	3.56	5.77	11.99	11.57	8.03	9.33	7.98	14.04
CDKL3	3.76	6.12	5.1	5.09	1.39	1.64	2.85	1.97	2.08	1.01	0.8	3.31	1.96	0.81	2.11	3.67	7.83	4.51	1.3	3.75	1.61	1.43	5.13	0	3.16	1.21	0.89	1.7	1.65	3.05	2.29	1.47	2.64
UPP2	0	1.19	0.22	0	0.65	0.3	1.05	0.11	0.99	0.14	0.08	0.12	0.08	0.08	0	0	0	0.56	3.73	0	0.17	0.24	0	0	2.02	0.16	0.23	0.26	0.14	0.41	0.3	0.25	0
PRSS21	0	0	1.06	0	1.47	0.47	0	0	0.02	0.02	2.57	0	0.48	0	0.4	0	0	0	0	1.99	0	0	0	0	0.04	0	0	0.05	0	0	0	0.53	0
MARK4	9.02	0.96	6.34	9.3	7.9	22.61	12.49	12.86	15.25	10.41	5.87	14.89	20.56	17.76	2.77	5.15	7.57	6.52	5.97	6.16	2.33	15.53	4.51	18.41	7.33	5.38	9.65	16.48	15.26	21.58	17.99	9.38	12.81
PROM1	28.32	0.15	53.56	49.28	1.66	23.2	96.09	2.1	0.21	0.12	0.03	4.04	15.2	26.18	43.16	1.68	0	56.99	5.27	0.28	0.15	0	0	7.6	26.17	13.96	0.08	0.24	4.72	30.1	1.29	6.11	0
CCDC124	24.44	9.95	13.34	48.01	55.98	25.99	33.44	40.69	34.31	22.28	13.45	30.15	37.13	36.94	23.17	32.43	41.15	128.87	72.46	19.6	10.57	49.91	45.12	38.43	41.61	20.48	21.49	24.15	21.72	67.88	32.51	32.29	30.52
CEACAM21	0	3.3	3.38	2.66	0.69	0.21	0.88	0.69	0.2	0.2	0.73	0.4	0.67	0.32	7.2	5.47	6.9	1.42	7.67	1.15	0.52	1.4	11.73	3.68	0.19	0.21	0.75	0.88	0.2	0.91	1.48	1.58	1.89
PAFAH1B1	29.22	9.3	35.46	24.7	45.49	171.55	207.57	134.71	160.57	128.15	83.68	122.88	212.59	226.61	28.11	22.82	51.46	21.61	25.36	49.98	8.27	51.63	32.24	40.08	183.78	69.66	122.87	170.69	180.04	257.39	141.91	187.47	28.61
NOS2	0.12	0	0	0.13	0.2	0.56	0.43	0.11	0.06	0.16	0.02	0.17	0.24	0.15	0.09	1.22	0.75	0.38	0.13	3.58	0.37	0.48	0.41	2.44	0.02	0.03	0.2	0.1	0.15	0.08	0.6	0.14	0
DNAH9	0.56	0.16	1.58	1.75	11.35	28.61	1.88	0.27	1.84	0.06	0.2	0.49	6.5	0.1	0.82	0	0	1.5	1.2	0.44	0.77	0.85	0.93	0	2.75	3.5	0.03	0.75	1.2	0.72	1.42	0.27	0
KIAA0100	58.51	1.43	47.96	27.37	31.09	53.83	54.09	39.46	51.69	44.74	31.17	46.01	54.71	63.19	20.36	28.51	39.64	29.73	50.5	43.57	9.77	47.66	20.55	49.44	68.44	23.67	25.03	38.69	35.21	59.3	32.35	37.58	33.82
SLC13A2	0	0	0.43	0	0	0	0.05	0.01	0	0	0.01	0	0	0.03	0	0	1.21	3.26	0.52	0	0	0	0	0	0.07	0	0	0	0	0.04	0	0	0
GAS7	8.94	0.54	8.76	3.16	1.76	96.86	9.54	3.73	4.85	5.1	8.72	7.37	25.34	3.76	5.17	13.28	13.74	4.76	4.06	22.77	2.55	6.66	5.64	8.23	5.19	2.97	6.28	7.33	3.5	6.79	7.93	8.46	1.11
TRAPPC6A	59.56	32.88	33.67	55.12	75.47	5.1	4.75	2.75	4.16	4.69	2.17	8.4	4.14	3.15	27.95	13.28	55.19	87.91	87.17	50.82	20.29	29.76	29.77	43.37	4.03	3.49	3.24	7.54	5.78	6.83	2.8	2.63	26.53
MATK	1.77	0.85	2.09	0	0.73	0.25	1.88	1.39	1.8	0.2	2.74	1.18	2.79	0.23	1.47	2.82	3.28	4.68	4.45	2.19	1.61	1.12	8.51	5.92	0.45	0.42	1.22	2.6	0.95	1.18	0.48	2.79	0.87
CEACAM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD79B	12.54	2.96	8.11	3.81	0.46	2.19	1.97	2.38	4.21	1.98	7.65	2.4	7.41	0.64	16.56	14.12	2.5	14.67	11.51	10.39	3.44	0.55	1.64	2.82	0.16	0.36	0.5	5.02	1.87	1.92	2.68	1.56	2.71
SCN4A	0.06	0	0.11	0.41	0.05	0.16	0.78	0.08	0.03	0	0.02	0.97	0	0.29	0.04	0.08	0.08	7.8	0.13	19.6	0.14	0.12	0	0	0.11	0.02	0.59	0.24	0.19	0.04	0.04	0.07	0.05
ST7L	14.42	4.5	14.26	15.05	7.93	9.83	14.47	6.39	7.41	7.16	5.32	13.21	22.15	10.1	3.13	5.47	21.98	7.93	17.98	19.82	4.32	6.83	5.4	13.58	5.04	6.91	4.15	8.99	7.82	12.38	6.63	6.4	7.33
TKTL1	0	0	0	0	0.52	1.5	0.2	0.45	0.04	0	0.17	0.64	0.82	0.01	1.27	12.27	0	0	0	0	0	0	0	9.29	0.09	0.15	0.07	0.1	0.04	0.08	0.05	0.12	0
PAX6	0.07	0.74	0.44	0.75	6.63	2.97	0.97	0.96	0.43	0.05	0.35	0.09	0.98	0.19	0	0.2	2.22	0.33	0.08	0.31	2.93	0.21	1.84	4.17	0.59	0.08	0.36	0.46	0.35	10.31	0.09	3.66	0.05
RPUSD1	9.42	0.66	3.06	9.65	8.28	2.36	2.35	1.93	1.68	2.22	1.36	1.23	1.85	1.46	3.16	5.6	8.36	18.31	16.34	4.14	3.04	8.63	9.75	4.66	1.56	1.09	0.8	1.91	1.29	2.13	1.99	1.73	3.25
RHBDF1	14.72	0.89	1.03	8.44	10.7	9.4	6.48	5.48	3.74	4.1	2.18	4.88	6.92	13.03	4.6	6.38	11.2	17.64	18.52	17.49	3.74	8.56	6.41	11.73	2.7	3.24	5.23	5.09	6.64	7.68	6.95	8.39	7.76
LUC7L	41.59	8.45	6.11	20.18	16.37	20.75	26.89	13.53	12.48	17.51	10.24	9.89	29.68	38.4	8.42	6.02	50.24	21.73	60.8	43.77	3.93	15.03	9.71	16.64	7.73	12.66	16.21	16.74	15.41	24.38	20.65	14.51	8.44
CACNA2D2	0.88	0	0	0.39	0	0.03	0.21	0.12	0.03	0.06	0.18	0.17	0.19	1.03	0	0.8	0.26	0.66	0.45	1.02	0	0.15	0	0	0.01	0.07	0.04	0.26	0.24	0.13	0.22	0.15	0.16
BAIAP3	1.3	0	0.82	8.41	1.47	4.11	3.55	0.91	1.5	1.27	0.98	2.96	2.2	2.52	1.11	1.15	2.9	5.13	2.27	2.92	4.31	1.74	0	4.77	4.6	1.86	3.68	6.41	7.18	4.3	3.6	4.06	0.16
TSR3	43.53	8.15	17.12	34.81	37.21	7.17	6.19	4.36	5.35	4.94	3.51	5.85	6.92	7.09	14.67	17.41	31.74	64.7	39.08	19.59	19.35	34.07	39.27	14.09	6.93	4.22	5.15	5.34	6.64	10.39	6.57	5.85	41.42
PIGQ	23.65	2.04	15.85	11.08	27.07	10.18	18.83	7.84	10.35	5.18	7.63	8.53	13.6	17.44	9.83	8.6	24.12	58.16	41.84	13.54	4.08	18.55	9.48	8.88	8.67	5.56	8.31	11.37	12.97	12.42	7.81	11.14	5.94
CRAMP1L	5.55	0.24	2.02	2.78	2.04	14.68	21.96	10.45	17.21	7.54	8.18	14.44	24.05	32.94	1.47	3.78	7.14	2.3	3.35	11.75	0.61	2.04	1.07	5.25	12.38	9.63	18.12	10.8	28.41	17.11	16.26	12.75	1.33
TEAD3	6.83	0.11	2.11	3.78	2.4	3.99	3.69	4.86	2.98	3.53	1.35	3.97	1.58	4.36	1.77	2.18	8.88	4.77	6.62	5.45	1.48	5.03	1.77	11.91	2.27	0.93	3.83	4.04	5.48	6.59	5.32	6.17	4.62
SELE	1.2	0	0.27	14.34	0	0.46	0.03	0.12	0.06	0.5	0.12	0.36	0	0.06	0	2.88	3.62	2.23	0.16	14.77	0.83	0.43	0.17	1.08	0.25	0.13	0.62	0.54	0.31	0.19	0.92	0.22	0
DNAJC11	16.96	0.38	25.27	13.1	16.47	22.86	26.85	23.92	18.4	23.78	8.42	18.21	13.79	21.64	9.33	14.57	13.76	15.54	17.99	19.14	8.69	17.45	8.69	20.65	25.2	13.59	13.53	17.55	24.09	51.76	13.44	16.71	8.39
FMO3	0.78	0.29	0.95	6.62	0.44	7.05	7.81	3.98	7.32	1.1	0.39	7.54	2.38	1.05	0.27	24.46	4.99	1.47	3.35	18.53	285.13	2.25	2.49	10.06	0.37	4.41	2.46	13.67	2.45	3.95	1.43	19.65	0.3
MYLIP	12.77	2.49	20.83	8.96	9.13	12.03	21.63	17.22	15.65	4.83	7.57	14.83	14.6	21.05	6.81	16.77	28.22	9.78	17.85	39.36	2.77	4.09	11.07	19.74	8.01	11.69	13.82	18.05	16.23	21.59	11.31	15.77	6.6
NOX1	0	0	0	0	0	0	0	0	0.04	0	0.02	0	0.04	0.03	0	0	0	0	0	0	0	0	0	0	0.03	0.07	0	0.02	0.08	0.04	0.06	0.29	0
E2F2	0.47	0.16	0.51	0.52	0.56	0.19	0.11	0.08	0.07	0.04	0.08	0.03	0.07	0.06	1.02	0.48	1.18	0.82	1.96	0.85	0.29	0.57	0.32	0.48	0.09	0.08	0.04	0.11	0.05	0.11	0.05	0.06	1.44
PSMB1	159.18	221.65	189.53	200.31	195.8	59.4	63.57	68.26	36.86	32.69	50.09	70.42	58.37	50.82	146.73	211.17	218.87	259.3	226.64	217.06	154.1	178.54	209.35	268.21	45.38	37.44	38.51	51.44	73.98	80.03	45.65	55	203.04
SYN1	0	0	0	0.18	0.14	0.43	0.4	0.08	0.36	0.33	0.04	0.17	0.06	0.15	0.12	0.62	0.81	0.25	0.18	0.49	0	0.16	0.18	0.81	0.38	0.24	0.1	0.13	0.12	0.42	0.24	0.15	0
JARID2	2.46	0.05	2.12	1.88	1.22	6.27	7.02	4.57	4.33	2.93	3.53	4.3	8.48	6.17	3.77	2.7	5.98	1.74	2.13	5.47	0.87	2.47	1.45	3.73	2.26	2.15	4.28	6.4	3.83	5.66	5.63	4.94	0.52
CDKL5	1.03	0	1.68	0	1.26	131.01	33.4	33.66	12.05	10.12	3.37	24.44	29.39	24.97	0.34	4.39	4.97	0	0	2.87	2.25	1.18	0	3.7	22.69	13.83	28.28	23.79	15.95	43.16	21.77	40.77	1.13
CAMK1G	0.22	0	0	0.48	2.38	7.01	3.59	1.13	3.74	0.54	0.11	5.36	0.74	2.58	0	0.28	4.95	0.16	0.47	0	0	0.22	2.31	9.41	0.06	1.3	1.3	2.51	2.78	0.21	6.31	2.83	0
CDK11A	41.42	5.58	6.02	10.08	6.01	20.21	24.3	18.48	16.13	16.62	14.06	12.69	26.96	15.73	5.79	10.09	27.85	11.26	27.02	27.92	1.78	7.04	10.31	4.76	9.55	12.1	15.67	16.72	9.85	16.72	26.03	12.64	3.16
NADK	18.59	2.76	17.5	16.41	12.36	18.45	15.35	17.36	17.89	14.83	16.11	12.38	21.06	12.87	22.89	23.87	27.45	9.56	26.57	17.71	12.96	12.36	19.27	17.96	12.51	7.47	10.76	14.2	14.83	21.73	15.27	16.82	16.92
TFAP2B	0	0	0	0	0	1.41	0	0.15	0.03	0	0	0.05	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0.02	0.18	0	0.05	0	0.14	0
ENSG00000008197	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0
DLEC1	0.18	0	0.43	0	0	1.19	5.93	2.46	0.45	0.51	0.5	0.16	1.54	0.34	0.13	0	0.09	0	0.5	4.13	0.31	0.15	0	0	0.11	0.09	0.29	0.74	1.04	0.46	0.72	0.33	0
CYTH3	8.27	0.37	2.46	9.12	4.02	13.79	7.29	3.25	3.32	6.28	1.18	7.28	6.82	9.61	1.74	6.04	20.62	5.28	3.12	31.5	2.13	6.29	3.14	18.51	3	2.82	5.63	7.76	6.67	7.16	8.06	7.34	1.09
ADAM22	2.42	0.09	0.93	2.08	2.76	7.25	16.62	8.46	10.59	23.72	3.34	6.38	8.58	21.12	0	8.18	7.36	0.21	0.61	4.36	1.45	1	4.77	5.87	16.42	10.75	7.37	13.61	11.63	31.31	3.33	21.98	0
SYPL1	95.31	32.61	117.97	107.65	64.82	22.52	22.39	18.08	26.51	14.07	4.8	35.59	14.9	25	56.86	87.92	102.15	64.84	73.93	136.18	40.58	86.69	124.94	88.69	32.58	10.81	12.23	17.75	39.38	38.46	17.56	19.83	47.91
CYB561	26.7	2.11	33.3	14.92	28.09	11.51	26.06	15.19	9.31	5.37	5.9	6.65	16.69	9.65	9.83	22.6	45.6	17.3	41.13	13.41	5.69	37.25	22.48	14.06	22.83	8.85	7.88	7.27	11.56	13.53	3.44	8.81	13.53
